year,mon,value
2006,11,-0.2916
2006,12,-0.0744
2007,01,-0.1964
2007,02, 0.0063
2007,03,-0.3529
2007,04, 0.1201
2007,05, 0.1927
2007,06, 0.2359
2007,07, 0.9694
2007,08, 0.5846
2007,09,-0.3113
2007,10,-1.6002
2007,11,-1.1086
2007,12,-0.4671
2008,01,-0.9676
2008,02,-0.8538
2008,03,-0.6805
2008,04,-1.1173
2008,05,-0.9604
2008,06,-1.1419
2008,07,-1.0584
2008,08,-0.9442
2008,09,-1.0334
2008,10,-1.1615
2008,11,-0.9643
2008,12,-0.8644
2009,01,-1.2744
2009,02,-1.2518
2009,03,-1.4949
2009,04,-1.5554
2009,05,-0.7600
2009,06,-0.0044
2009,07, 0.0090
2009,08, 0.2698
2009,09, 0.7608
2009,10, 0.4532
2009,11,-0.4921
2009,12,-0.2541
2010,01, 0.5486
2010,02, 0.5565
2010,03, 0.2453
2010,04, 0.1858
2010,05, 0.0811
2010,06,-0.6541
2010,07,-1.3971
2010,08,-1.5548
2010,09,-1.6018
2010,10,-1.0864
2010,11,-1.1834
2010,12,-1.5909
2011,01,-1.2508
2011,02,-1.0504
2011,03,-0.8965
2011,04,-0.7402
2011,05,-0.6629
2011,06,-1.0288
2011,07,-2.1449
2011,08,-1.9781
2011,09,-1.8844
2011,10,-1.3653
2011,11,-2.3554
2011,12,-1.9915
2012,01,-1.3331
2012,02,-0.8224
2012,03,-1.0674
2012,04,-0.4479
2012,05,-1.1121
2012,06,-1.1864
2012,07,-1.8592
2012,08,-2.2599
2012,09,-2.4495
2012,10,-0.6982
2012,11,-0.5720
2012,12,-0.9832
2013,01,-0.7538
2013,02,-0.9135
2013,03,-0.7881
2013,04,-0.2219
2013,05,-0.0703
2013,06,-0.6767
2013,07,-0.6705
2013,08,-0.4534
2013,09,-0.2639
2013,10,-1.1277
2013,11,-0.5181
2013,12,-0.7854
2014,01,-0.0030
2014,02, 0.0712
2014,03, 0.8634
2014,04, 0.9515
2014,05, 1.7189
2014,06, 0.4565
2014,07, 1.1208
2014,08, 1.2546
2014,09, 1.5466
2014,10, 1.8510
2014,11, 1.6692
2014,12, 2.0744
2015,01, 1.9325
2015,02, 2.0789
2015,03, 2.0246
2015,04, 1.5341
2015,05, 1.3277
2015,06, 1.4327
2015,07, 2.1565
2015,08, 1.7290
2015,09, 1.7940
2015,10, 1.5673
2015,11, 0.6278
2015,12, 0.6906
2016,01, 1.2965
2016,02, 1.8059
2016,03, 2.1924
2016,04, 2.3471
2016,05, 2.1324
2016,06, 1.7388
2016,07, 1.2806
2016,08, 0.2598
2016,09, 0.0956
2016,10, 0.4984
2016,11, 1.4628
2016,12, 0.6502
2017,01, 0.4392
2017,02, 0.5513
2017,03, 0.6490
2017,04, 1.0200
2017,05, 1.1370
2017,06, 1.0438
2017,07, 0.3750
2017,08, 0.4629
2017,09, 0.6051
2017,10,-0.0045
2017,11,-0.0748
2017,12, 0.2520
2018,01, 0.7284
2018,02, 0.3949
2018,03,-0.1000
2018,04, 0.0853
2018,05, 0.3609
2018,06,-0.0325
2018,07, 0.1389
2018,08, 0.2453
2018,09, 0.2555
2018,10, 0.1776
2018,11, 0.1268
2018,12, 0.3899
2019,01, 0.4479
2019,02, 0.1707
2019,03, 0.3011
2019,04, 0.7590
2019,05, 0.9673
2019,06, 0.9464
2019,07, 1.2764
2019,08, 0.9326
2019,09, 1.0280
2019,10,-0.2186
2019,11, 0.4387
2019,12, 0.7549
