year,mon,value
1922,02,-1.1299
1922,03,-1.1029
1922,04,-1.4070
1922,05,-1.4483
1922,06,-0.5091
1922,07,-0.4041
1922,08,-0.0341
1922,09,-0.3004
1922,10, 0.3194
1922,11,-0.5795
1922,12,-0.1144
1923,01, 0.4821
1923,02,-0.3014
1923,03,-0.5865
1923,04,-0.0255
1923,05, 0.3218
1923,06,-0.6622
1923,07, 0.5829
1923,08, 0.7153
1923,09, 0.1828
1923,10, 0.8702
1923,11, 0.2424
1923,12,-0.1319
1924,01,-0.1197
1924,02, 0.0373
1924,03,-0.0162
1924,04,-0.7870
1924,05,-0.0418
1924,06, 0.2776
1924,07,-0.4518
1924,08,-0.8960
1924,09,-1.0482
1924,10,-1.5052
1924,11,-1.3771
1924,12,-0.5642
1925,01,-0.9599
1925,02,-0.4323
1925,03,-0.3286
1925,04,-0.8280
1925,05,-0.1076
1925,06,-0.2433
1925,07,-0.2809
1925,08,-0.2238
1925,09, 0.0099
1925,10, 0.5438
1925,11, 0.5093
1925,12, 0.6051
1926,01, 0.8696
1926,02, 1.2916
1926,03, 1.4096
1926,04, 2.0437
1926,05, 2.0947
1926,06, 1.3247
1926,07, 2.0141
1926,08, 1.8598
1926,09, 1.5041
1926,10, 1.4346
1926,11, 2.4367
1926,12, 1.5945
1927,01, 0.8576
1927,02, 1.4672
1927,03, 1.1041
1927,04, 0.3061
1927,05,-0.0668
1927,06, 0.4592
1927,07, 0.0402
1927,08,-0.1959
1927,09,-0.0276
1927,10,-0.3283
1927,11, 0.0536
1927,12,-0.4347
1928,01, 0.4273
1928,02, 0.6670
1928,03, 1.1808
1928,04, 0.5913
1928,05, 0.4952
1928,06, 1.3025
1928,07,-0.3174
1928,08,-0.5706
1928,09,-1.5149
1928,10,-1.0707
1928,11, 0.1553
1928,12, 0.5266
1929,01, 0.4611
1929,02, 0.0833
1929,03, 0.0166
1929,04,-0.0235
1929,05, 0.6077
1929,06, 0.6105
1929,07, 0.3657
1929,08, 0.0779
1929,09, 1.0347
1929,10, 0.8351
1929,11, 0.6873
1929,12, 1.2584
1930,01, 1.2202
1930,02, 1.0911
1930,03, 0.7609
1930,04, 0.7206
1930,05, 0.1468
1930,06,-0.0374
1930,07,-0.2938
1930,08, 0.2468
1930,09, 0.7488
1930,10, 0.0808
1930,11, 0.2003
1930,12, 0.6085
1931,01, 1.0910
1931,02, 1.2923
1931,03, 1.1775
1931,04, 1.5259
1931,05, 2.1689
1931,06, 2.0475
1931,07, 2.3609
1931,08, 1.0357
1931,09, 0.9738
1931,10, 0.2147
1931,11, 0.1502
1931,12,-0.4698
1932,01,-0.8661
1932,02,-1.2269
1932,03,-0.8072
1932,04, 0.2115
1932,05, 0.0693
1932,06,-0.3088
1932,07, 0.0075
1932,08,-0.3666
1932,09,-1.2447
1932,10,-0.0903
1932,11,-0.2560
1932,12, 0.0305
1933,01,-0.7816
1933,02,-0.8859
1933,03,-0.8126
1933,04,-0.9066
1933,05,-1.6561
1933,06,-2.4835
1933,07,-3.0010
1933,08,-2.3051
1933,09,-2.6759
1933,10,-1.5351
1933,11,-0.5210
1933,12,-0.6439
1934,01,-0.7342
1934,02,-0.0150
1934,03, 0.5389
1934,04, 1.0685
1934,05, 0.7799
1934,06, 0.2187
1934,07, 0.3857
1934,08, 1.1758
1934,09, 1.1516
1934,10, 1.6052
1934,11, 1.2801
1934,12, 1.2895
1935,01, 0.5738
1935,02, 0.4942
1935,03,-0.1980
1935,04, 0.2142
1935,05, 0.7323
1935,06, 1.3624
1935,07, 0.6404
1935,08, 0.4316
1935,09, 0.3748
1935,10, 0.3154
1935,11, 0.2277
1935,12, 1.1155
1936,01, 1.5189
1936,02, 1.3667
1936,03, 0.8777
1936,04, 0.7413
1936,05, 1.4489
1936,06, 1.9299
1936,07, 2.3574
1936,08, 2.2301
1936,09, 0.8599
1936,10, 1.8501
1936,11, 2.2691
1936,12, 1.2092
1937,01,-0.1634
1937,02,-0.6439
1937,03,-0.3118
1937,04,-0.6283
1937,05,-0.3697
1937,06, 0.9128
1937,07, 0.0817
1937,08,-0.7636
1937,09, 0.0788
1937,10, 0.6713
1937,11, 0.5803
1937,12, 1.0518
1938,01, 1.2154
1938,02, 0.2735
1938,03, 0.0132
1938,04, 0.0172
1938,05, 0.0158
1938,06,-0.1169
1938,07,-0.3884
1938,08,-0.0763
1938,09, 0.0105
1938,10, 0.5575
1938,11, 0.1480
1938,12, 0.7080
1939,01, 0.5689
1939,02,-0.2558
1939,03,-0.6990
1939,04,-0.2181
1939,05,-0.0897
1939,06,-0.0082
1939,07,-0.6429
1939,08,-1.1412
1939,09,-1.1781
1939,10,-1.0938
1939,11,-0.6035
1939,12, 1.2430
1940,01, 1.6384
1940,02, 1.4849
1940,03, 1.6414
1940,04, 1.8258
1940,05, 1.8537
1940,06, 2.2838
1940,07, 2.0379
1940,08, 1.5514
1940,09, 1.2294
1940,10, 1.5189
1940,11, 1.4109
1940,12, 2.1012
1941,01, 2.2947
1941,02, 2.7229
1941,03, 2.3391
1941,04, 2.3745
1941,05, 2.5144
1941,06, 2.8878
1941,07, 2.8142
1941,08, 3.0479
1941,09, 2.3342
1941,10, 1.1978
1941,11, 1.6004
1941,12, 1.6291
1942,01, 1.8353
1942,02, 0.8111
1942,03, 0.3344
1942,04, 1.2377
1942,05, 0.8493
1942,06, 0.5321
1942,07, 0.3990
1942,08, 0.6902
1942,09, 0.4215
1942,10, 0.4014
1942,11,-0.3848
1942,12,-0.8619
1943,01, 0.0085
1943,02,-0.0921
1943,03, 0.0326
1943,04, 0.5122
1943,05, 0.4879
1943,06, 0.3741
1943,07,-0.5903
1943,08,-0.8884
1943,09,-0.6291
1943,10,-0.5005
1943,11, 0.0131
1943,12, 0.9453
1944,01, 0.4656
1944,02, 0.0970
1944,03,-0.1307
1944,04,-0.4775
1944,05,-0.6179
1944,06,-1.0906
1944,07,-0.7342
1944,08,-0.9850
1944,09,-0.8870
1944,10,-0.9899
1944,11, 0.3168
1944,12,-0.9663
1945,01,-0.2536
1945,02, 0.3706
1945,03,-1.0451
1945,04,-0.4059
1945,05,-0.2873
1945,06, 0.4750
1945,07, 0.5721
1945,08,-0.0904
1945,09,-0.2600
1945,10, 0.3129
1945,11,-1.0361
1945,12,-1.1614
1946,01, 0.0604
1946,02, 0.0489
1946,03,-0.4344
1946,04,-0.5772
1946,05,-0.8134
1946,06, 0.3191
1946,07, 0.9278
1946,08,-0.1439
1946,09, 0.1189
1946,10,-0.3207
1946,11,-1.2387
1946,12,-1.0024
1947,01,-1.3937
1947,02,-1.1821
1947,03, 0.0986
1947,04, 0.3924
1947,05,-0.2073
1947,06, 0.6703
1947,07, 0.1979
1947,08, 0.3785
1947,09, 0.4356
1947,10, 0.7994
1947,11, 0.1793
1947,12, 0.5948
1948,01, 0.3383
1948,02,-0.9423
1948,03,-0.7146
1948,04,-1.1122
1948,05,-1.2088
1948,06,-0.8492
1948,07,-0.1467
1948,08,-1.4259
1948,09,-0.8021
1948,10,-1.4014
1948,11,-0.8787
1948,12,-0.5640
1949,01,-2.7115
1949,02,-2.9714
1949,03,-1.7658
1949,04,-1.4422
1949,05,-1.1407
1949,06,-0.5865
1949,07,-0.9871
1949,08,-1.4432
1949,09,-1.0518
1949,10,-1.3442
1949,11,-0.7237
1949,12,-0.6761
1950,01,-1.4478
1950,02,-1.6986
1950,03,-1.4675
1950,04,-1.4103
1950,05,-2.5007
1950,06,-1.9410
1950,07,-2.9308
1950,08,-2.0881
1950,09,-1.6577
1950,10,-1.1733
1950,11,-1.2733
1950,12,-0.7107
1951,01,-0.7619
1951,02,-1.0586
1951,03,-1.3160
1951,04,-1.1775
1951,05,-0.7779
1951,06,-0.8779
1951,07, 0.3239
1951,08,-0.6645
1951,09, 0.1209
1951,10, 0.6024
1951,11,-0.1204
1951,12,-1.0074
1952,01,-2.0870
1952,02,-1.3244
1952,03,-1.4035
1952,04,-1.7701
1952,05,-1.5879
1952,06,-1.8151
1952,07,-1.7068
1952,08,-0.6323
1952,09,-0.7226
1952,10, 0.1252
1952,11,-0.0423
1952,12,-0.8637
1953,01,-0.2701
1953,02,-0.4449
1953,03,-1.0216
1953,04,-0.5114
1953,05,-0.3743
1953,06,-0.6058
1953,07, 0.1197
1953,08,-0.4200
1953,09,-0.4380
1953,10,-0.8983
1953,11,-0.3037
1953,12,-0.1254
1954,01,-0.7633
1954,02,-0.6685
1954,03,-0.8101
1954,04,-0.7322
1954,05,-0.1326
1954,06, 0.5292
1954,07, 0.4385
1954,08, 0.1182
1954,09,-0.4868
1954,10, 0.2030
1954,11, 1.0610
1954,12, 0.4838
1955,01,-0.4032
1955,02,-0.8927
1955,03,-1.0552
1955,04,-1.6644
1955,05,-1.4777
1955,06,-2.2626
1955,07,-2.4974
1955,08,-2.3241
1955,09,-2.0870
1955,10,-3.2826
1955,11,-2.4887
1955,12,-1.9335
1956,01,-1.9500
1956,02,-2.1034
1956,03,-2.5448
1956,04,-2.2412
1956,05,-1.3006
1956,06,-1.6399
1956,07,-1.1473
1956,08,-0.7052
1956,09,-0.1861
1956,10,-1.2692
1956,11,-2.0416
1956,12,-1.1359
1957,01,-1.3846
1957,02,-1.4760
1957,03,-0.8555
1957,04,-0.4326
1957,05, 0.1310
1957,06, 1.4178
1957,07, 1.0234
1957,08, 0.7845
1957,09, 1.8125
1957,10, 1.8484
1957,11, 1.5065
1957,12, 0.4268
1958,01, 0.6572
1958,02, 1.1063
1958,03, 0.8011
1958,04, 0.8917
1958,05, 1.4270
1958,06, 1.6853
1958,07, 0.7973
1958,08, 1.4509
1958,09, 1.2647
1958,10, 0.7404
1958,11, 0.3802
1958,12, 1.1418
1959,01, 0.9794
1959,02, 0.7198
1959,03, 0.2272
1959,04, 0.2666
1959,05, 0.3949
1959,06, 0.6325
1959,07, 0.4407
1959,08, 0.1495
1959,09,-0.0128
1959,10, 1.0894
1959,11, 1.5764
1959,12, 1.2001
1960,01, 0.3708
1960,02, 0.7136
1960,03, 0.6228
1960,04, 0.6857
1960,05, 0.7473
1960,06, 0.8935
1960,07,-0.0993
1960,08,-0.0308
1960,09,-0.5586
1960,10,-0.2997
1960,11,-0.2018
1960,12, 0.1589
1961,01, 0.8791
1961,02, 0.8585
1961,03, 0.6611
1961,04, 0.4369
1961,05,-0.1913
1961,06,-0.2037
1961,07,-0.5796
1961,08,-0.2578
1961,09,-0.7816
1961,10,-1.5046
1961,11,-1.7004
1961,12,-1.9852
1962,01,-1.3513
1962,02,-1.1322
1962,03,-1.1329
1962,04,-0.6920
1962,05,-0.9612
1962,06,-1.8143
1962,07,-1.6359
1962,08,-0.5159
1962,09,-1.0762
1962,10,-1.6393
1962,11,-0.5231
1962,12,-0.5917
1963,01,-0.2875
1963,02, 0.1545
1963,03,-0.2692
1963,04,-0.5201
1963,05,-0.8434
1963,06,-0.7733
1963,07,-0.9379
1963,08,-0.8226
1963,09, 0.9003
1963,10, 0.2206
1963,11,-0.5770
1963,12,-0.1800
1964,01, 0.4386
1964,02, 0.0704
1964,03,-0.6331
1964,04,-0.8600
1964,05,-1.7792
1964,06,-0.6305
1964,07,-1.0113
1964,08,-1.2840
1964,09,-1.1184
1964,10,-0.5404
1964,11,-0.9310
1964,12,-0.8031
1965,01,-1.0626
1965,02,-0.7012
1965,03,-0.3114
1965,04,-0.1613
1965,05,-0.5330
1965,06,-0.6959
1965,07,-0.6595
1965,08, 0.4754
1965,09, 0.8370
1965,10, 0.3794
1965,11, 0.4294
1965,12,-0.0763
1966,01,-0.7696
1966,02,-0.5717
1966,03,-0.6503
1966,04, 0.0309
1966,05,-0.3117
1966,06, 0.0175
1966,07, 0.2205
1966,08, 0.1237
1966,09,-0.0410
1966,10,-0.2603
1966,11,-0.6111
1966,12,-0.3155
1967,01,-0.3951
1967,02,-0.3323
1967,03,-0.5863
1967,04,-0.8781
1967,05,-1.1314
1967,06,-0.9867
1967,07,-0.7100
1967,08,-0.7629
1967,09,-0.1204
1967,10, 0.0771
1967,11, 0.3236
1967,12,-0.8321
1968,01,-0.8395
1968,02,-0.3167
1968,03, 0.0452
1968,04,-0.5196
1968,05,-0.3173
1968,06, 0.3805
1968,07, 0.8022
1968,08, 0.4131
1968,09, 0.5316
1968,10,-0.0382
1968,11, 0.0533
1968,12,-0.3670
1969,01,-0.6498
1969,02,-1.0712
1969,03,-1.0222
1969,04,-0.7166
1969,05,-0.5756
1969,06, 0.9148
1969,07, 0.0734
1969,08,-0.4500
1969,09,-0.6144
1969,10, 0.8641
1969,11, 0.3394
1969,12, 0.7843
1970,01, 0.7303
1970,02, 0.8742
1970,03, 1.0892
1970,04, 0.4770
1970,05,-0.4963
1970,06,-0.0326
1970,07,-0.6156
1970,08,-1.3267
1970,09,-1.3183
1970,10,-0.8528
1970,11,-0.7135
1970,12,-1.0401
1971,01,-1.4738
1971,02,-1.4337
1971,03,-1.5391
1971,04,-1.4593
1971,05,-1.5711
1971,06,-1.6726
1971,07,-1.9587
1971,08,-0.2602
1971,09,-0.1549
1971,10,-0.5244
1971,11,-1.4445
1971,12,-2.1096
1972,01,-2.0859
1972,02,-1.9256
1972,03,-1.5485
1972,04,-1.6337
1972,05,-1.8005
1972,06,-1.6111
1972,07,-1.1494
1972,08, 0.0530
1972,09,-0.0172
