year,1,2,3,4,5,6,7,8,9,10,11,12
1997,-0.8,-0.5,0.0,0.2,1.0,1.7,2.5,2.9,3.0,3.3,3.6,3.5
1998,3.2,2.6,2.1,1.7,1.3,-0.3,-0.3,-0.3,-0.7,-1.0,-1.0,-1.4
1999,-1.5,-0.9,-0.4,-0.7,-0.6,-0.7,-0.6,-0.9,-1.0,-1.2,-1.7,-1.6
2000,-1.8,-1.1,-0.5,0.0,-0.2,-0.5,-0.3,-0.4,-0.4,-0.4,-0.7,-0.7
2001,-0.5,-0.3,0.1,0.0,-0.1,0.0,0.0,-0.1,-0.5,-0.5,-0.5,-0.5
2002,-0.4,-0.1,0.2,0.2,0.2,0.8,0.6,0.5,0.8,0.9,1.4,1.3
2003,0.8,0.4,0.1,-0.3,-0.8,-0.4,0.2,0.1,0.2,0.5,0.4,0.7
2004,0.4,0.2,0.1,0.0,-0.3,-0.1,0.0,0.3,0.3,0.3,0.5,0.6
2005,0.4,-0.2,-0.3,0.2,0.4,0.2,0.4,0.3,-0.2,-0.4,-0.9,-1.2
2006,-0.9,-0.4,-0.8,-0.2,0.0,0.0,0.1,0.4,0.8,0.9,1.0,1.1
2007,0.8,0.0,-0.5,-0.5,-0.7,-0.6,-0.8,-1.1,-1.3,-1.5,-1.6,-1.7
2008,-1.5,-1.4,-0.6,-0.3,-0.1,0.0,0.5,0.6,0.2,-0.1,0.0,-0.6
2009,-0.5,-0.6,-0.6,-0.1,0.4,0.7,0.9,0.8,0.7,0.7,1.3,1.4
2010,1.1,0.8,0.7,0.7,0.0,-0.7,-0.9,-1.0,-1.3,-1.6,-1.6,-1.5
2011,-1.4,-0.8,-0.7,-0.3,-0.2,0.1,0.0,-0.4,-0.6,-1.0,-1.1,-0.9
2012,-0.5,-0.2,-0.1,0.0,0.1,0.5,0.8,0.7,0.3,0.0,0.2,-0.2
2013,-0.5,-0.5,0.1,-0.2,-0.8,-0.8,-0.6,-0.7,-0.2,-0.2,0.0,0.1
2014,-0.2,-0.8,-0.1,0.3,0.6,0.8,0.4,0.3,0.4,0.7,1.0,0.9
2015,0.4,0.2,0.2,0.8,1.2,1.6,2.0,2.2,2.6,2.7,2.9,3.0
2016,2.7,2.0,1.6,0.8,0.1,-0.1,-0.6,-0.6,-0.3,-0.5,-0.6,-0.5
2017,0.0,0.5,0.5,0.5,0.4,0.2,0.1,-0.2,-0.8,-0.6,-1.1,-1.2
2018,-1.1,-0.9,-0.8,-0.5,-0.1,0.3,0.3,0.1,0.2,0.9,1.1,1.0
2019,0.7,0.7,0.8,0.7,0.6,0.3,0.0,-0.2,-0.3,0.2,0.4,0.3
2020,0.3,0.0,0.2,0.3,-0.3,-0.8,-0.6,-0.6,-1.1
